"","GCM","variable","decade","layer","mean","median","min","max"
"207","GFDL","tas","3","9","279.24","282.84","221.89","306.68"
"208","GFDL","tas","3","10","278.86","282.67","221.97","305.27"
"209","GFDL","tas","4","1","279.07","283.01","222.44","304.68"
"210","GFDL","tas","4","2","279.27","282.76","221.83","305.96"
"211","GFDL","tas","4","3","279.24","283.04","221.69","304.84"
"212","GFDL","tas","4","4","279.23","283.03","221.71","305.1"
"213","GFDL","tas","4","5","279.27","282.93","221.66","306.42"
"214","GFDL","tas","4","6","279.18","282.76","221.45","305.81"
"215","GFDL","tas","4","7","279.36","282.52","223.25","307.38"
"216","GFDL","tas","4","8","279.06","282.63","221.43","305.7"
"217","GFDL","tas","4","9","279.11","282.83","222.1","305.74"
"218","GFDL","tas","4","10","278.97","282.79","222.3","306.12"
"219","GFDL","tas","5","1","279.07","282.95","223","305.75"
"220","GFDL","tas","5","2","279.05","282.87","222.93","305.23"
"221","GFDL","tas","5","3","279","282.89","221.84","306.44"
"222","GFDL","tas","5","4","279.15","282.93","221.73","306.86"
"223","GFDL","tas","5","5","279.4","282.86","222.87","305.93"
"224","GFDL","tas","5","6","279.37","282.83","223.59","306.81"
"225","GFDL","tas","5","7","279.05","282.87","223.66","306.07"
"226","GFDL","tas","5","8","279.46","282.94","222.86","306.35"
"227","GFDL","tas","5","9","279.55","282.81","222.25","306.02"
"228","GFDL","tas","5","10","279.58","282.98","223.61","305.05"
"229","GFDL","tas","6","1","279.46","283.01","223.66","306.18"
"230","GFDL","tas","6","2","279.71","282.88","222.79","305.67"
"231","GFDL","tas","6","3","279.8","283.09","224.1","306.02"
"232","GFDL","tas","6","4","279.54","282.75","222.38","306.3"
"233","GFDL","tas","6","5","279.61","283.05","222.75","306.42"
"234","GFDL","tas","6","6","279.69","282.98","223.17","306.01"
"235","GFDL","tas","6","7","279.69","282.94","223.27","305.38"
"236","GFDL","tas","6","8","279.95","283.29","222.67","306.58"
"237","GFDL","tas","6","9","279.87","283.49","222.37","305.44"
"238","GFDL","tas","6","10","279.79","283.38","222.31","306.08"
"239","GFDL","tas","7","1","280.08","283.36","223.44","305.36"
"240","GFDL","tas","7","2","280.03","283.26","223.48","306.91"
"241","GFDL","tas","7","3","280","283.42","222.49","307.97"
"242","GFDL","tas","7","4","279.94","283.48","222.88","306.28"
"243","GFDL","tas","7","5","279.94","283.51","223.49","305.91"
"244","GFDL","tas","7","6","280.07","283.58","224.09","306.94"
"245","GFDL","tas","7","7","279.95","283.29","222.13","306.89"
"246","GFDL","tas","7","8","280.17","283.56","224.3","307.4"
"247","GFDL","tas","7","9","280.35","283.62","223.04","306.57"
"248","GFDL","tas","7","10","280.24","283.56","222.33","306.65"
"249","GFDL","tas","8","1","280.13","283.69","222.5","307.38"
"250","GFDL","tas","8","2","280.15","283.68","222.67","307.06"
"251","GFDL","tas","8","3","280.24","283.65","221.99","306.18"
"252","GFDL","tas","8","4","280.2","283.36","223.27","307.49"
"253","GFDL","tas","8","5","280.19","283.65","223.26","307.14"
"254","GFDL","tas","8","6","280.19","283.64","224.04","307.05"
"255","GFDL","tas","8","7","280.17","283.4","223.89","307.12"
"256","GFDL","tas","8","8","280.05","283.69","224.13","306.37"
"257","GFDL","tas","8","9","280.43","283.71","222.88","306.76"
"258","GFDL","tas","8","10","280.53","283.52","223.34","307.76"
"259","GFDL","tas","9","1","280.3","283.65","222.95","306.47"
"260","GFDL","tas","9","2","280.2","283.67","222.6","307.26"
"261","GFDL","tas","9","3","280.39","283.68","223.38","307.2"
"262","GFDL","tas","9","4","280.36","283.69","223.7","307.32"
"263","GFDL","tas","9","5","280.35","283.81","223.33","307.73"
"264","GFDL","tas","9","6","280.49","283.93","223.81","307.03"
"265","GFDL","tas","9","7","280.52","283.69","223.39","307.14"
"266","GFDL","tas","9","8","280.46","283.51","223.18","308.13"
"267","GFDL","tas","9","9","280.4","283.61","223.42","307.45"
"268","GFDL","WBGT","1","1","6.02","8.51","-30.43","29.15"
"269","GFDL","WBGT","1","2","6.08","8.61","-29.72","29.17"
"270","GFDL","WBGT","1","3","5.91","8.48","-30.48","28.36"
"271","GFDL","WBGT","1","4","6","8.52","-29.15","28.94"
"272","GFDL","WBGT","1","5","5.8","8.39","-30.99","28.84"
"273","GFDL","WBGT","1","6","5.88","8.61","-29.7","28.87"
"274","GFDL","WBGT","1","7","6.15","8.72","-28.62","28.84"
"275","GFDL","WBGT","1","8","6.01","8.42","-29.26","29.63"
"276","GFDL","WBGT","1","9","6.15","8.51","-28.98","30.56"
"277","GFDL","WBGT","1","10","6.02","8.5","-28.71","28.67"
"278","GFDL","WBGT","2","1","5.96","8.68","-30.06","28.9"
"279","GFDL","WBGT","2","2","6.16","8.69","-28.82","28.58"
"280","GFDL","WBGT","2","3","6.23","8.66","-30.41","29.1"
"281","GFDL","WBGT","2","4","6.29","8.79","-28.32","29.29"
"282","GFDL","WBGT","2","5","6.04","8.8","-29.74","29.2"
"283","GFDL","WBGT","2","6","6.16","8.76","-30.86","29.01"
"284","GFDL","WBGT","2","7","6.25","8.66","-28.91","29.7"
"285","GFDL","WBGT","2","8","6.36","8.69","-29.33","29.02"
"286","GFDL","WBGT","2","9","5.91","8.54","-30.28","28.51"
"287","GFDL","WBGT","2","10","6","8.49","-29.51","28.77"
"288","GFDL","WBGT","3","1","6.13","8.67","-31.46","28.73"
"289","GFDL","WBGT","3","2","6.27","8.74","-29.02","29.57"
"290","GFDL","WBGT","3","3","6.06","8.77","-30.1","28.78"
"291","GFDL","WBGT","3","4","6.31","8.72","-30.14","30.06"
"292","GFDL","WBGT","3","5","6.16","8.61","-29.11","29.31"
"293","GFDL","WBGT","3","6","6.01","8.56","-29.85","28.83"
"294","GFDL","WBGT","3","7","6.2","8.86","-30.99","29.21"
"295","GFDL","WBGT","3","8","6.35","8.98","-30.17","29.66"
"296","GFDL","WBGT","3","9","6.35","8.84","-29.58","30.17"
"297","GFDL","WBGT","3","10","5.99","8.61","-30.32","28.83"
"298","GFDL","WBGT","4","1","6.2","8.9","-29.53","29.72"
"299","GFDL","WBGT","4","2","6.37","8.75","-29.72","30.48"
"300","GFDL","WBGT","4","3","6.36","8.92","-29.33","29.22"
"301","GFDL","WBGT","4","4","6.35","8.93","-31.12","28.95"
"302","GFDL","WBGT","4","5","6.39","8.84","-30.03","29.58"
"303","GFDL","WBGT","4","6","6.28","8.63","-29.69","29.4"
"304","GFDL","WBGT","4","7","6.43","8.58","-28.9","29.41"
"305","GFDL","WBGT","4","8","6.16","8.56","-30.43","28.83"
"306","GFDL","WBGT","4","9","6.23","8.76","-30.23","29.03"
"307","GFDL","WBGT","4","10","6.07","8.76","-30.06","29.39"
"308","GFDL","WBGT","5","1","6.18","8.83","-29.88","29.05"
"309","GFDL","WBGT","5","2","6.17","8.88","-31.08","29.8"
"310","GFDL","WBGT","5","3","6.11","8.76","-30","29.41"
"311","GFDL","WBGT","5","4","6.25","8.8","-30.03","29.63"
"312","GFDL","WBGT","5","5","6.47","8.83","-29.81","29.63"
"313","GFDL","WBGT","5","6","6.47","8.78","-29.95","29.32"
"314","GFDL","WBGT","5","7","6.14","8.74","-28.66","28.85"
"315","GFDL","WBGT","5","8","6.56","8.93","-29.23","29.61"
"316","GFDL","WBGT","5","9","6.63","8.83","-29.73","29.86"
"317","GFDL","WBGT","5","10","6.68","8.89","-31.56","29.54"
"318","GFDL","WBGT","6","1","6.55","8.94","-28.29","29.22"
"319","GFDL","WBGT","6","2","6.78","8.9","-28.82","30.21"
"320","GFDL","WBGT","6","3","6.87","9.02","-27.51","30"
"321","GFDL","WBGT","6","4","6.61","8.71","-29.29","29.27"
"322","GFDL","WBGT","6","5","6.7","9.01","-29.05","29.84"
"323","GFDL","WBGT","6","6","6.78","8.96","-29.36","29.94"
"324","GFDL","WBGT","6","7","6.75","8.92","-28.8","29.91"
"325","GFDL","WBGT","6","8","7.05","9.25","-29.18","30.37"
"326","GFDL","WBGT","6","9","6.95","9.31","-28.99","29.49"
"327","GFDL","WBGT","6","10","6.86","9.3","-29","29.8"
"328","GFDL","WBGT","7","1","7.14","9.24","-29.27","29.49"
"329","GFDL","WBGT","7","2","7.08","9.2","-28.55","29.99"
